theme_label,emotion_label,Compound,Cleaned,Advice_Text
Research Skills & Confidence,Resilient,0.9845,"Throughout this project, I have gained a significantly deeper understanding of psychological research. Readings and studies assigned throughout the academic year provided me with a solid foundation in psychology; however, hands-on experience of conducting research has truly enhanced my knowledge - a key reason for choosing this university. The journey of completing this mini-dissertation was not without challenges; setup issues with SPSS data caused significant problems during ANOVA and descriptive statistics analysis. Multiple lecturers' guidance proved incredibly helpful, both in troubleshooting technical issues and strengthening my understanding of the software, boosting confidence in data analysis. The writing process presented its own set of challenges - repetition of key points across different sections of the dissertation led me to reflect on creating a coherent and concise flow in future assignments. Although this project has been difficult at times, it has provided valuable learning experiences. Though my submission is not what I ideally would have it look like, I am proud of the progress I have made. I eagerly anticipate receiving feedback, as I believe it will be beneficial for further refining research skills and advancing my academic journey for the next year.","The student recommends the following:

1. Gaining hands-on experience in conducting psychological research is crucial to enhancing one's knowledge beyond just theoretical understanding, as demonstrated through this project.
2. Seeking guidance from multiple lecturers can be incredibly helpful, especially when troubleshooting technical issues and boosting confidence in data analysis.
3. Reflecting on creating a coherent and concise flow in future assignments is essential to avoid repetition of key points across different sections of the dissertation or project.
4. Anticipating constructive feedback, as it will be beneficial for further refining research skills and advancing one's academic journey."
"Independent Research, Teamwork, Time Management, Data Analysis, Personal Growth",Relieved,0.9839,"Initially, the concept of producing my own research seemed incredibly daunting and unachievable. Confusing and intense work to complete individually, starting a group project and writing the lab report independently. However, members did not attend a large percentage of lab sessions and did not contribute equally when designing the study and making resources. This experience taught the importance of reliable teammates and active communication between group members to minimize conflict and ensure an even distribution of work. Despite this, the other group members worked effectively together to meet deadlines. Although it was a significant workload, lab times and internal deadlines recommended by lab tutors helped turn the work into manageable pieces. Data analysis was intimidating at first; however, we surpassed our expected number of participants and had a larger sample size. This created an obstacle: an Excel spreadsheet over 100 rows long. It took trial and error, but with help from our lab tutor and YouTube videos, we processed our data to the stage where we could run an ANOVA. This experience highlighted that making mistakes initially is okay and can often be reversed or remedied. It also showed how much just trying can teach you. Although it took a few attempts, eventually, variables were transformed. This feeling of self-achievement was shortly replaced with disappointment as my results were not significant. After discussing with my lab tutor, I realized that non-significant results are still important. I feel this is an incredibly important realization for an aspiring psychologist. My research found a contradiction to previous research, although the analysis may have been non-significant; the contradiction is a significant contribution to the field. It is important to learn not to be disappointed by this. Ultimately, I now feel more confident with the idea of completing my own completely independent dissertation next year. I feel more comfortable with data analysis and have a good idea of which aspects are the most time-consuming or require the most attention. It has also given me valuable experience in organizing my time to make a very large and daunting project more approachable by setting internal deadlines and holding myself accountable. I have really enjoyed this topic and look forward to my dissertation next year.","1. Choose reliable teammates for group projects, and ensure clear communication among all members.
2. Break down large workloads into manageable pieces by setting internal deadlines.
3. Don't be discouraged by initial mistakes or non-significant results; they can often lead to valuable contributions in the field.
4. Gaining experience with data analysis will make future independent research more comfortable, and organizing your time effectively is crucial for managing large projects."
"Time Management, Research Design, Personal Growth",Motivated,0.9777,"It was honestly reassuring to be in a group with others who, like me, had a lot going on outside of university. We understood each other's time pressures and this helped keep us motivated, even if it also meant a fair bit of last-minute scrambling. That said, I learned a lot from that. I went in with some quite narrow ideas about how to measure things, and it wasn't until I was deep in the process that I realized I needed to shift gears, and kind of make the most of what I had. So while the final version came together (somewhat) in the end, it definitely felt like I was piecing things together in real time, rather than having a clear vision from the beginning. Next year, I'm actually looking forward to approaching my dissertation with a clearer vision and structure right from the start. I've now got a much better sense of what works, what doesn't, and how much planning really helps. Also, no longer being intimidated by SPSS or Excel helps a lot.","1. Work well in groups with others who have similar time pressures as you can help keep each other motivated, even if it means last-minute scrambling.
2. Be flexible and open to shifting gears when necessary. Don't stick too closely to initial ideas or plans, especially when they prove not to be effective.
3. Plan ahead as much as possible for future projects to have a clearer vision and structure right from the start.
4. Develop skills in using software such as SPSS or Excel to enhance your research capabilities."
Teamwork & Collaboration,Relieved,0.9643,"At the start of the year, even thinking about a mini dissertation was daunting. I felt unprepared. As we formed groups and brainstormed ideas, I originally felt worried that as a group, we wouldn't be able to come together and produce a piece of work that we were all proud of. However, the difficulty of this project brought our small group together, and we supported each other throughout the process. Throughout the process of picking a topic, allocating variables and interactions for us all to choose, and then getting started with the study formation, we began to work together much more seamlessly than when we started. Working in a group has taught me how to rely on others for parts I feel less confident in. I also learned to lend a helping hand to my colleagues when they were feeling less confident in an area that I was confident in. This experience has helped a lot with the feeling of impending doom when thinking about my dissertation next year as I already know what I need to do to get started and what to focus on. I feel much more confident about going into year 3, knowing how to produce a piece of work that I can be proud of.","The student shares the following advice for future students:

1. Don't be daunted by challenging projects at the beginning – it's normal to feel unprepared.
2. Working in a group can bring people together and help produce better work.
3. Rely on others for areas you feel less confident in, and offer help where you excel.
4. Starting early and focusing on what needs to be done can help alleviate feelings of impending doom when facing similar tasks in the future.
5. Reflecting on past experiences can help build confidence for future challenges."
,,0.9934,"At the beginning of this project, I was excited to explore gender differences in perception, particularly how gendered language shapes attitudes towards job roles. Initially, I had to adapt my original idea due to other team members focusing on similar areas. Despite being initially disappointed, I remained open-minded and embraced the opportunity to work in a team. I enjoyed working with my partner overall, but collaboration came with difficulties. One challenge was our disagreement over using visual stimuli; I wanted to present job ads within stereotypically masculine and feminine office spaces, but we couldn't agree on their appearance, resulting in a change of direction that delayed progress. A significant challenge for me was SPSS; I initially felt overwhelmed by it but grew more confident as time passed. Unfortunately, technical issues led to the loss of data outputs, preventing me from recreating graphs shown to Caroline. Although I'm proud of the work submitted, it's not as comprehensive as it could have been. Moving forward, I understand the importance of completing tasks ahead of deadlines and seeking help when things go wrong. The project has highlighted the significance of visual and language-based framing in gendered communication, especially within marketing. In future projects, especially my final-year dissertation, I'd like to explore topics that integrate academic interests with professional fields, focusing on the power of gendered words and improving my ability to create engaging experimental materials reflective of real-world applications. Although this project may not be the piece I'm most proud of, it served as a turning point in my perception of myself as a researcher, providing clarity on values, voice, and future explorations. At submission, I feel a mix of pride, frustration, and relief but primarily motivated for what comes next.","The student provides the following advice or tips:

1. Stay open-minded when working in a team, as it may lead to opportunities that you hadn't initially considered.
2. Emphasize the importance of completing tasks ahead of deadlines.
3. Seek help when encountering difficulties or issues, especially with technical tasks like SPSS.
4. Focus on integrating academic interests with professional fields, particularly in exploring gendered communication and improving experimental materials reflective of real-world applications.
5. View setbacks as learning experiences that can help you grow as a researcher. At submission time, they express pride, frustration, and relief but primarily feel motivated for the future opportunities ahead."
"Research, Teamwork, Perseverance",Relieved,0.9859,"I was extremely excited to complete a mini-dissertation, however, I was skeptical about doing it as a group. Past experiences working in groups didn't give me much confidence; however, as the weeks went by, I realized I could rely on them. There were some weeks where motivation to come into labs decreased and most of us, including myself, didn't attend. If I was to do another group project again, I would take more advantage of the resources and support from the labs because towards the end, I found myself getting confused on analyzing data using SPSS. However, even though obtaining the statistical data seemed impossible towards the end, I managed to push through. With trial and error, it took me a full day to figure it out, but nonetheless, I'm proud that I persevered. Now, I can use SPSS with more confidence than before, and it doesn't seem as overwhelming as before. Ultimately, completing this mini-dissertation has been challenging but also rewarding. The process of conducting research and writing a substantial piece of work has significantly enhanced my understanding of factors affecting prosocial behavior and my overall academic skills. This opportunity has prepared me for how demanding my dissertation will be next year and put me in a great spot for what to expect.","Advice: If you are doing a group project, make sure to take advantage of the resources and support provided, especially when it comes to using complex software like SPSS. Perseverance is key, even when things seem overwhelming or confusing. The process may be challenging, but it will enhance your academic skills and prepare you for more demanding projects in the future."
"Research Design, Teamwork, Personal Growth",Resilient,0.8554,"Creating a mini-dissertation study captivated me, fostering personal growth. This experience honed my teamworking and leadership skills. Though I anticipated challenges, I felt at ease as creating a study entails its difficulties. Choosing a complex topic, namely menstrual cycle, was exhilarating as it's a personal aspect I understand. My tranquility stemmed from the data I had accumulated on this subject through essays, critical proposals, and social interactions. I rehearsed my plan with George in labs, but acquiring participants, particularly females, proved challenging. This experience expanded my comprehension of participant recruitment and efficient data gathering, as building a study is not simple. Deciphering 2x2 data was intriguing yet demanding. Ultimately, my application of menstrual cycle encapsulated key insights regarding a female's period impact on working memory. In the process, I mastered technical content, especially using SPSS, an intimidating yet enjoyable experience. Moving forward, I will prioritize recruiting more participants and preparing for potential errors. I learned how to conduct my own study and am personally satisfied with the outcome; however, in the future, I aim to strengthen my approaches by avoiding failures and valuing eligibility criteria for further research.","Recommendations:

1. When choosing a topic for a mini-dissertation study, pick something that interests you personally and that you have some existing knowledge about. This can help make the process smoother and more enjoyable.

2. Anticipate challenges in your research, but don't let them discourage you. Building a study is not easy, but it's a valuable learning experience.

3. Recruiting participants, especially for sensitive topics, can be difficult. Be prepared to put in extra effort and consider creative strategies to reach your target audience.

4. Mastering technical tools such as SPSS is an intimidating but rewarding experience. Practice using these tools early on in the process to give yourself enough time to get comfortable with them.

5. Prioritize participant recruitment and preparing for potential errors in your study. These are crucial aspects that can impact the outcome of your research.

6. In future studies, pay attention to eligibility criteria to ensure a more representative sample and reduce the risk of failures or inconsistencies in your data.

7. Reflect on your experiences and learn from them. Use this knowledge to improve your approaches for subsequent research projects."
"Research Design, Project Management",Resilient,0.988,"This mini-dissertation project offered valuable insights into the research process, particularly regarding the challenges and adaptations essential for designing and conducting independent studies. Initially, our team designed a complex study examining the relationship between anxiety through a GAD-7 questionnaire, stress, exposure to anxiety-inducing stimuli (comparing cute dog videos versus stressful tasks), and subsequent sleep quality (to be measured through a two-part questionnaire completed before and after sleep). However, we encountered several significant methodological challenges that prompted us to rethink our approach. The primary issues included substantial participant attrition for the second part of the questionnaire. Although we had a reasonable number of participants to complete the initial anxiety assessment, fewer than half continued with completing the sleep quality follow-up questionnaire. Additionally, concerning signs were noted on the validity of the data collected - as the majority who completed both questionnaire parts did so within an unreasonably short timeframe (in less than 30 minutes from the start time to submission) rather than the originally expected overnight period from 6-12 hours. This pattern suggested participants were completing both sections in a single sitting, invalidating our attempt to measure the post-sleep effects. These challenges call for the pivotal need to anticipate participant behavior cautiously and implement follow-up mechanisms accordingly, such as sending morning reminder emails (a measure which we had discussed during planning but eventually dismissed due to technical constraints).

   As a result of these obstacles, I have changed the current study design examining gender and ethnicity effects on anxiety, in a less procedurally complex way which still addresses meaningful psychological questions. This experience has given me valuable takeaways about research design, and the importance of striking the balance between ambitious methodology and practical feasibility. As a result of this study, I will bear in mind several crucial considerations when I undertake my third-year dissertation. First, sample representativeness relies significantly on participant recruitment strategies. Our reliance on university forums and group chats resulted in a demographically skewed sample, limiting generalisability. Second, more advanced project management skills will be highly essential for an 8,000-word project, in terms of planning project deliverables along the timeline of milestones. Through studying exemplary papers, I have also enhanced my academic writing skills in presenting the results and discussion sections.

   I found this learning process both enlightening and rewarding. Despite the obstacles encountered, this experience has strengthened my confidence as a researcher and provided practical insights that will be invariably invaluable for my final-year dissertation.","Advice:

1. Anticipate participant behavior carefully and implement follow-up mechanisms such as sending reminder emails to ensure data validity.
2. When designing a study, consider sample representativeness by using diverse participant recruitment strategies.
3. Develop advanced project management skills for managing an extensive project like a dissertation, planning project deliverables along the timeline of milestones.
4. Study exemplary papers to enhance academic writing skills in presenting results and discussions sections.
5. Remember the importance of striking a balance between ambitious methodology and practical feasibility when designing a research study."
Research Design & Data Collection,Reflective,0.8746,"During the mini-dissertation process, the most challenging aspect was deciding on a research topic due to the freedom we had in choosing one. We had several ideas, but found it difficult to incorporate all topics into one. After making compromises and reaching a decision, our ideas started flowing better. When designing the research, we had some existing ideas from past papers that we incorporated into our design; however, looking back now, an experimental measure could have been used for one of our independent variables. In data collection, we found it tricky as most participants completed only the first half of the survey, neglecting the second half about their sleep the morning after. Therefore, we should have made it clearer for participants to complete the whole survey and provided prompts as they went along. During the analysis part of the research, I initially found it confusing but then got the hang of it by ensuring all parts of the analysis were included in my results. Overall, this experience will greatly benefit me next year as I will know what to expect when conducting my own research and have better ideas for my future work.","The student recommends the following tips for future students or themselves:

1. When choosing a research topic, it is important to make compromises and decide on one topic despite the freedom to choose multiple topics. This will help in better flow of ideas.
2. In designing the research, consider using an experimental measure for one of the independent variables.
3. During data collection, make sure participants understand they need to complete the whole survey by providing clear instructions and prompts throughout the process.
4. During the analysis part of the research, ensure all parts of the analysis are included in the results for clarity and comprehension.
5. This experience will be beneficial for future work as it will help in better understanding what to expect when conducting research and developing ideas for future projects."
"Teamwork, Study Design, Perseverance",Resilient,0.9345,"The mini-dissertation process presented several challenges, primarily due to group work involvement. Group members did not know each other personally before starting the project and were introverts, making it hard to build rapport and establish a common purpose. Initially, we struggled with social engagement, adopting a divide-and-conquer strategy for collaboration. Over time, we began supporting each other and working together more effectively. A significant challenge was our larger group size, making cohesive study design difficult. Additionally, we lacked a solid understanding of 2x2 ANOVA initially, which caused confusion.

   A crucial moment for me occurred when I missed a lab session, during which crucial design changes were made without my input. In my absence, other members took on main effects, leaving me with interactions. Once data collection concluded, our tutor recommended swapping one independent variable with one dependent variable to enhance clarity. This placed me in a challenging situation, as I had not been involved in selecting or applying the survey relevant to that part of the project. As a result, I analyzed a design in which I had only been partially involved.

   From this experience, I learned that designing a study is crucial and that a divide-and-conquer approach is not the best way to manage group work. If given another chance, I would choose to be more involved in every part of the project from the beginning. Despite these challenges, I feel good about my submission, and I am eager for the next year's project as I have learned a lot. I have already selected my project topic and met with my supervisor, who agreed with my proposal. I am filled with curiosity about my chosen subject and feel ready to take off the training wheels for the next stage.","The student provides several pieces of advice from their personal experience:

1. Designing a study is crucial: Involve yourself in every part of the project from the beginning, as the design choices can significantly impact the outcome.

2. A divide-and-conquer approach may not be the best way to manage group work: Group members should strive for more collaborative efforts and ensure everyone is involved in key decisions throughout the project.

3. Building rapport and establishing a common purpose is essential when working with unfamiliar group members, especially if they are introverts: Allocate time at the beginning of the project to get to know each other better and define shared goals.

4. When dealing with group work involving a larger number of participants, it may be challenging to maintain cohesion in the study design: It's essential to ensure that everyone understands their roles and responsibilities and communicate effectively to overcome this hurdle.

5. A solid understanding of 2x2 ANOVA (or any other statistical analysis method) is necessary for successful project completion: Spend time learning these concepts before starting the project, or seek help from tutors or experienced peers if needed.

6. Be open to feedback and adaptable when things don't go as planned: The student learned this lesson when their absence led to crucial design changes without their input. They recommend taking such situations in stride and being proactive in finding solutions to overcome any arising challenges."
"Teamwork, Confidence",Relieved,0.9887,"Going into this significant portion of the second year was daunting. Since the beginning of the first year, I found SPSS terrifying, and even thinking about it hurt my brain. However, knowing that I have managed to complete this now, and that this will help prepare me for third year, I feel a little less lost. The experience in many ways was fun! This is the second instance in psychology where I have worked in a team, and it helped remind me that there are other people who may be feeling a little confused too, but you can help each other. This experience taught me that no study is perfect, and that there will be frustrating moments, but you shouldn't be afraid to ask for help. The group I had made the project significantly better as well, as it was nice to be in a mix of people who were a bit more apprehensive (like me) and others who felt confident in the work. My group's good communication also made this a much more pleasurable experience, as there was no anxiety regarding data and contributions to writing. The mini-dissertation did exactly what it was meant to do: prepare me for third year. While I may still feel apprehensive about approaching and designing a study by myself, there is less anxiety.","The student offers the following advice to future students:

1. Don't be afraid of challenges, like learning new software such as SPSS. Even if it seems intimidating at first, persistence can lead to mastery.
2. Teamwork can make a significant difference in completing and enjoying challenging projects. Remember that others may feel just as lost or apprehensive, but you can help each other.
3. Accept that studies may have frustrating moments, but don't hesitate to ask for help when needed.
4. Good communication within a group is essential for a more pleasurable and effective learning experience.
5. Preparatory projects like the mini-dissertation are meant to prepare you for larger challenges in the future. Though you may still feel apprehensive, each project will help reduce that anxiety over time."
"Research Process, Personal Growth, Data Analysis, Independence","Anxious, Relieved, Proud, Scared",0.9926,"Moving from first year to doing a mini-dissertation was undeniably terrifying. It felt like this big, scary thing in my mind, and I was honestly really worried. After meeting my group, I felt more at ease as they were really lovely people, and we were able to come up with an idea for our mini-dissertation quickly. I still felt really anxious throughout the process, but it was really nice to have people who provided lots of help (and also my lovely lab tutor). After the research went live things felt easy, I genuinely thought the hard part was over. I had completely forgotten about cleaning the data and data analysis... At first cleaning the data felt really long, and I was unsure what to keep and what to delete however once I realised what I needed and what needed to go it was honestly fun to clean the data and organise it so that it can be inputted into SPSS. Statistical tests are definitely not one of my strong suits, so I found that confusing and I was honestly not expecting my data to be non-significant. I'm really glad we had a mini-dissertation to do. Obviously, during the processes, it made me feel many emotions...and I was really stressed out. However, now that it is over I can look back and feel proud that I was able to conduct my own study (not quite on my own!). I am still really scared about conducting my own research in 3rd year as that will be an independent task, however, now that I have a feel for what it is like I know I'll get through it no matter what and then I'll really feel like a psychologist.","1. Don't underestimate the importance of data cleaning and analysis in your research process.
2. If you feel anxious or overwhelmed during the research process, remember that you have help from your group members and lab tutor.
3. Conducting independent research can be scary, but facing challenges will make you grow as a psychologist.
4. Learning from the experience of doing a mini-dissertation will prepare you for conducting your own research in 3rd year."
Research Skills & Personal Growth,Grateful,0.9555,"Completing this mini-dissertation project has been a valuable and enriching experience for my psychology study journey. I enjoyed the entire process, especially data analysis and writing the report. Although the topic was not one I would have chosen (proposed by another team member), it provided me with a great deal of learning. It made me reflect on my own thinking, as I may sometimes rely on unconscious stereotypes. This project deepened my understanding of how easily people use mental shortcuts, such as race as a salient heuristic, when making judgments, especially in a media-saturated world where unverified narratives can shape perceptions. Beyond the theoretical learning, this project offered me the chance to practice essential research skills, from ethical planning and survey design to data analysis and writing up results. I genuinely enjoyed the process and often found myself immersed in the role of a researcher. It made me realize how much I enjoy working with real data and thinking critically about human behavior, which deepened my curiosity about psychological research and strengthened my desire to pursue this path further. Working with a team also reminded me that research is a collaborative process, and that social connection plays a vital role in learning and growth. Overall, this experience has not only expanded my academic knowledge but also helped me grow personally, as both a learner and an aspiring psychologist.","The student offers several pieces of advice to future students or themselves:

1. Embrace projects that may not initially align with your interests, as they can provide valuable learning opportunities.
2. Reflect on your own thinking, particularly in regards to unconscious stereotypes, to deepen your understanding and empathy.
3. Take advantage of research projects to practice essential skills such as ethical planning, survey design, data analysis, and writing up results.
4. Recognize the collaborative nature of research and appreciate the role that social connections play in learning and growth.
5. Reflect on personal growth and how experiences can strengthen your desire to pursue your chosen path further."
"Teamwork, Research Skills, Adaptability",Relieved,0.9938,"This Mini Dissertation was a good experience for me. I was lucky to be part of a group with three other highly engaged and motivated people who shared my enthusiasm for the project. We quickly formed a strong bond and effectively collaborated to generate ideas, support one another, and manage our workload efficiently. Our ability to coordinate meetings and discussions ensured that everyone stayed informed, even when one of us couldn't attend a lab session. We made it a priority to keep each other updated which demonstrated the importance of teamwork and communication. I enjoyed working in a group, as the Ethics application initially overwhelmed me with the workload, but we all worked together to submit it on time, making it less stressful. While we were told it might be difficult to get our target sample population, I was very proud of how efficiently we distributed our questionnaire and how quickly we gathered all the necessary responses. I found the templates on the VLE very useful for setting up a Qualtrics questionnaire and was surprised by how straightforward it was. However, data analysis was hard. Working with raw data in Excel was difficult due to my limited experience, but working with my team to analyze the data together made it manageable. The other challenge I faced was interpreting the data from SPSS. With many tables provided, I found it hard to determine which were most relevant for the lab report, therefore the results section took longer to write. Despite these challenges, I enjoyed conducting my research. This experience has improved my confidence in research design, data collection, and statistical analysis, which will be useful for my third-year dissertation. More importantly, I have also learned the significance of teamwork, adaptability, and problem-solving in research, which will help me in my future job.","1. Work in a group: Collaborate with others who share your enthusiasm for the project, as it can make the workload more manageable and less stressful.

2. Communication is key: Maintain regular updates within your team to ensure everyone stays informed, even when one cannot attend a lab session.

3. Adaptability: Be prepared to face challenges in data analysis and interpreting results from software like SPSS; practice problem-solving skills to overcome these obstacles.

4. Use templates provided on the VLE for setting up questionnaires, as they can make the process straightforward.

5. Teamwork and adaptability are crucial skills in research that will benefit you in your future job.

6. Confidence in research design, data collection, and statistical analysis will improve with experience, which will be useful for future projects like the third-year dissertation."
Data Analysis & Confidence,Relieved,0.9729,"Reflective Account: When I initially contemplated running this study, although we weren't entirely on our own, it felt like a very challenging task to accomplish. Working together with a friendly group of individuals, all eager and determined to excel in the mini-dissertation, made the process overall go relatively smoothly until we then split up and wrote up the studies individually. I found this activity particularly difficult when done alone; my confidence in writing up results waned after the study was completed. I sometimes struggle to comprehend results, find it challenging to consistently recall adding the correct numbers from the table, and where to add them. Most of the time, I have to triple-check that I have correctly performed these tasks. Additionally, I experienced difficulties with conducting analysis on SPSS. However, after some time, I was able to accomplish my desired goal—understanding what I was actually doing in SPSS, where everything should go, and running follow-up tests when necessary. Collaborating on this mini-dissertation with the group and my lab teacher proved incredibly beneficial. Completing this mini-dissertation—designing and executing it—enhanced my critical thinking and analytical skills. I now feel more confident in analyzing data, making decisions when conducting studies and research in the future, as well as completing my dissertation next year.","Tips for Future Students:

1. Collaborate with a group of individuals when possible during complex tasks like writing up a study or conducting analysis on software such as SPSS. The collective effort can make the process go relatively smoothly and enhance learning experiences.
2. When working alone, be patient and persistent, especially if you struggle with comprehending results or recalling how to perform certain tasks such as adding numbers correctly from tables. Triple-check your work to ensure accuracy.
3. Don't be afraid to seek help when needed, whether it's from group members, lab teachers, or other resources available. Asking questions and learning from others is a valuable aspect of the learning process.
4. Completing challenging tasks like this mini-dissertation can significantly improve your critical thinking and analytical skills, making you more confident in analyzing data and making decisions during studies and research in the future.
5. When facing difficulties with software like SPSS, be prepared to invest time to understand it better. Practice regularly and don't hesitate to ask for help if needed. This will ultimately lead to mastering the skills required for your dissertation next year."
"Research Design, Teamwork, Data Analysis, Confidence",Resilient,0.9907,"At first, the whole idea of carrying out a study and writing a 2500-word dissertation intimidated me. However, as we broke down our steps from establishing what to study to analyzing data, it made the experience less stressful. Our group had excellent teamwork during the construction of the study and its execution. However, there were times when some group members were absent during data analysis struggles, but the remaining people stayed in after lab sessions to resolve our problems. Despite this, we overcame the difficulties faced and met the project deadline. This experience helped me understand the importance of collective responsibility. I learned that designing a study requires much thought and consideration of all variables and possible research flaws. Furthermore, it showed how hard it is to control these flaws, such as using an alternative measure with its own flaws. This allowed me to appreciate the amount of thought and care put into designing research. For me, the most difficult part of this experience was cleaning data and analyzing it on Excel and SPSS. As a person who rarely used Excel, interpreting raw data, summing up scores for all participants, and putting them in a separate document took a long time. Additionally, I found it challenging to run tests on SPSS due to my weaknesses from year 1, especially computing each variable and running tests like the test of normality, marginal means, etc., as well as interpreting data for the results section. However, overcoming this has increased my confidence in using SPSS and analyzing data, providing me with valuable SPSS skills. This has boosted my confidence for the final-year dissertation, so I will be better prepared for data analysis. In conclusion, this mini-dissertation provided me with insight into how I will carry out a study for our final-year dissertation and has made me feel more confident and experienced in handling any issues that may arise, as well as carefully designing and analyzing my study.","1. Break down the steps of a study to make it less stressful.
2. Maintain excellent teamwork during the construction and execution of a study.
3. Stay persistent and work after lab sessions if necessary, to resolve problems faced during data analysis.
4. Understand the importance of collective responsibility when working on a group project.
5. Designing a study requires much thought and consideration of all variables and possible research flaws.
6. Be prepared for difficulties in controlling these flaws, as alternatives may have their own flaws.
7. Appreciate the amount of thought and care put into designing research.
8. Spend time learning how to use Excel, interpreting raw data, summing up scores, and using SPSS for data analysis.
9. Overcoming challenges in using SPSS will increase your confidence in analyzing data and provide you with valuable SPSS skills.
10. These newfound skills will boost your confidence for the final-year dissertation and prepare you for handling data analysis issues."
Research Design & Methodology,Motivated,0.9824,"My comprehension of outcome bias and decision evaluation difficulties has significantly improved due to this research. A within-subjects study compelled me to evaluate order effect control and measurement reliability critically. This approach enhanced my understanding of experimental design, and the importance of methodological accuracy. Performing a 2x2 repeated-measures ANOVA on the data increased my statistical confidence, and I learned the importance of interpreting effect sizes and testing assumptions rather than just focusing on significance. Reading literature improved my ability to critically assess previous studies and place my findings in broader psychological debate contexts. This project honed my analytical thinking, problem-solving, attention to detail, and technical skills, all vital for further study. Impartiality in judgment was reaffirmed as valuable in both academic and practical contexts. In conclusion, this experience boosted my respect for scientific investigation and made me a more systematic and thoughtful researcher during my academic career.","Tips for future students or themselves:

1. Critically evaluate order effect control and measurement reliability when conducting within-subjects studies in experimental design.
2. Focus on methodological accuracy, as it plays a crucial role in the validity of results.
3. Interpret effect sizes and test assumptions, not just focusing on significance.
4. Read literature to improve the ability to critically assess previous studies and place findings in broader psychological debate contexts.
5. Develop analytical thinking, problem-solving, attention to detail, and technical skills through conducting research projects.
6. Embrace impartiality in judgment for both academic and practical contexts.
7. Cultivate a respect for scientific investigation, as it will make you a more systematic and thoughtful researcher during your academic career."
"Research Skills, Collaboration & Future Research Directions",Motivated,0.9827,"Completing this Mini-Dissertation was a valuable and rewarding learning experience. One of the aspects enjoyed most was designing the study and selecting the research topic, specifically exploring the effects of sleep and breakfast consumption on working memory because I am genuinely passionate about how lifestyle behaviors influence cognitive performance. This helped me stay motivated and focused despite some challenges along the way. While group work had generally constructive moments, difficulties arose particularly around communication and attendance due in part to practical constraints including my own health challenges which occasionally impacted my participation in scheduled meetings. Nonetheless, we were able to effectively collaborate when it mattered, and I appreciated and enjoyed the opportunity to engage in collaborative work. Through this process, I developed a deeper understanding of research and became more confident using SPSS, especially when running and interpreting ANOVA tests, checking assumptions, and reporting statistical findings in APA format. Learning how to bring together multiple sections of the dissertation – from literature review to analysis and discussion – has helped me build skills and confidence I will need for my final-year dissertation. If given the opportunity, I would have liked to explore additional measurement tools such as validated sleep or nutrition questionnaires which could enhance internal validity in future research. I also now appreciate the value of objective measures and a more diverse sample, intending to incorporate these into my final-year project. Overall, this experience has not only strengthened my research and analytical skills but has also clarified the areas of psychology I am most drawn to. I feel more prepared for the challenges of independent research in my final year and am excited to continue building on what I've learned.","Tips for future students or themselves:

1. Choose a research topic that you are genuinely passionate about as it will help keep you motivated and focused during challenges.
2. Engage in collaborative work, appreciating the constructive moments while being mindful of difficulties like communication and attendance issues.
3. Develop a deeper understanding of various sections of the dissertation, including literature review to analysis and discussion, to build skills and confidence for future projects.
4. Consider incorporating objective measures and a more diverse sample in your research for improved internal validity.
5. Explore additional measurement tools like validated sleep or nutrition questionnaires to enhance future research.
6. Prepare for independent research in your final year by strengthening your research and analytical skills, such as using SPSS, running and interpreting ANOVA tests, checking assumptions, and reporting statistical findings in APA format.
7. Reflect on this experience to clarify areas of psychology you are most drawn to and feel more prepared for the challenges ahead.
8. Embrace the learning process and be excited about continuing to build on what you've learned."
"Time Management, Tools & Methods, Personal Growth",Relieved,0.0672,"When told to conduct a study with people for mini-dissertation nervous, settled nerves knowing who working with, smooth sailing. Enjoyable using Qualtrics create survey, technology skills. Trialing survey before ethics review identify errors. Learned time goes into coding, start early if using Qualtrics next year. Finding suitable questionnaire for variables assessed interesting. Ethics application process stressful, most do not get approved first try, prepared. Data cleaning straightforward, favorite part. Running data through SPSS tricky, reacquaint myself with software, check ANOVA assumptions. Writing results required focus. Excel used create figure first time, got hang eventually. Writing mini-dissertation slightly scary, just longer lab report. Cut down over 700 words meet word count limit, difficult reword sentences eliminate information. Overall, learned start work early and ""teamwork makes the dream work"" (Maxwell, 2002).","The student provides several tips for future students:

1. Start working on the study early, especially if using Qualtrics next year, as time goes into coding.
2. Trial the survey before the ethics review to identify errors.
3. Finding a suitable questionnaire for variables assessed can be interesting but takes time.
4. The ethics application process can be stressful and most do not get approved on the first try, so be prepared.
5. Data cleaning is straightforward but running data through SPSS might be tricky; it's recommended to reacquaint oneself with the software and check ANOVA assumptions.
6. Writing results requires focus.
7. Excel can be used to create figures for the first time, and it may take some time to get a hang of it eventually.
8. Writing a mini-dissertation is slightly scary but is like a longer lab report.
9. Be prepared to cut down over 700 words if needed to meet the word count limit; it can be difficult to reword sentences and eliminate information without losing meaning.
10. Lastly, the student emphasizes the importance of teamwork, stating ""teamwork makes the dream work"" (Maxwell, 2002)."
