Reflective_Account,Cleaned,Neg,Neu,Pos,Compound,Advice_Text,emotion_label,theme_label
"At the start of the year, I genuinely believed I had no chance at completing this project due to its daunting nature and lack of self-belief. However, as the module progressed, possibilities excited me. I began investigating my favorite topics and eventually found a group to share the journey with. As a group, we settled on eyewitness testimonies, and I felt confident. This confidence shifted when we realized how challenging it was to even think of a way to research the topic. Around this time, when we had discussed the experiment methodology, I went through a rough patch regarding mental health and was not as present or collaborative as I had hoped. This left me feeling behind and slightly confused about any improvement on the project, as well as guilty. Despite this, my group was excellent help and highly supportive, discussing ideas and sharing thoughts via the group chat. It was reassuring to know that we would all help each other in reaching the finish line. I think my biggest takeaway from this year and this project specifically is that confidence ebbs and flows, but when you persist, engage with peers, and work on weaknesses, you will only ever become more competent at your chosen task. I appreciate the challenge this was and look forward to designing my own experiment when the time comes with all the knowledge I have gathered this year.","At the start of the year, I genuinely believed I had no chance at completing this project due to its daunting nature and lack of self-belief. However, as the module progressed, possibilities excited me. I began investigating my favorite topics and eventually found a group to share the journey with. As a group, we settled on eyewitness testimonies, and I felt confident. This confidence shifted when we realized how challenging it was to even think of a way to research the topic. Around this time, when we had discussed the experiment methodology, I went through a rough patch regarding mental health and was not as present or collaborative as I had hoped. This left me feeling behind and slightly confused about any improvement on the project, as well as guilty. Despite this, my group was excellent help and highly supportive, discussing ideas and sharing thoughts via the group chat. It was reassuring to know that we would all help each other in reaching the finish line. I think my biggest takeaway from this year and this project specifically is that confidence ebbs and flows, but when you persist, engage with peers, and work on weaknesses, you will only ever become more competent at your chosen task. I appreciate the challenge this was and look forward to designing my own experiment when the time comes with all the knowledge I have gathered this year.",0.037,0.793,0.17,0.976,,Resilient,"Perseverance, Teamwork, Confidence"
"When the mini dissertation project was initially announced, I felt lost. The possible studies that we were allowed to run or that were feasible to run in such a short period of time seemed bound to be boring. However, as weeks went by, we made progress. Approval of our Research Proposal by the Ethics Committee was exciting and liberating. Throughout the process, many barriers arose. We often missed one or two members during lab sessions, some of which were due to my illness throughout the school year. Playing catch-up was tiring. The common excuse of time management did not apply to me since I had and still have a very time-consuming extracurricular; there simply wasn't enough time in general to manage. Writing the mini-dissertation felt rushed. Sharing the questionnaire more with other Goldsmiths students could have helped us collect more data. The reach on Whatsapp is limited, and printing a QR code of our study and pinning it on notice boards would have been beneficial. As a final note, I look forward to investigating more adventurous topics next year.","When the mini dissertation project was initially announced, I felt lost. The possible studies that we were allowed to run or that were feasible to run in such a short period of time seemed bound to be boring. However, as weeks went by, we made progress. Approval of our Research Proposal by the Ethics Committee was exciting and liberating. Throughout the process, many barriers arose. We often missed one or two members during lab sessions, some of which were due to my illness throughout the school year. Playing catch-up was tiring. The common excuse of time management did not apply to me since I had and still have a very time-consuming extracurricular; there simply wasn't enough time in general to manage. Writing the mini-dissertation felt rushed. Sharing the questionnaire more with other Goldsmiths students could have helped us collect more data. The reach on Whatsapp is limited, and printing a QR code of our study and pinning it on notice boards would have been beneficial. As a final note, I look forward to investigating more adventurous topics next year.",0.057,0.832,0.111,0.861,,Overwhelmed,"Time Management, Research Design, Personal Growth"
"Throughout this project, I have learned to be logical and patient among other things. My fascination with narcissism and the dark personality traits stemmed from first year when I explored manipulation for my extended essay. In this project, I got to test my own ideas in real life and get involved in exploring this dark side of personality. Thankfully, there were not many narcissists in our 2nd year labs; however, this was frustrating for data collection as it meant I had an extremely imbalanced sample and could not score the statements the usual way. This required problem-solving, and with the help of my lab tutor, we found a solution. Working in a team was another frustrating experience when trying to adapt a study for everyone; however, we made it work, and everyone collaborated with equal effort in the beginning to find middle ground. From this experience, I have learned that I value working with a team and sharing ideas, as some of the ideas I hadn't thought of. Even if some members stopped turning up, I think I could have made more of an effort to encourage them and give them reasons to keep making the effort they had initially. Furthermore, ANOVA was an accurate analysis to run; I feel confident in using this and would be happy to conduct an ANOVA again next year or explore something different. My biggest realization was that time management is essential - I started this project way in advance and did it in steps, which eased a lot of pressure and made it manageable. This allowed me to still enjoy the project throughout. For next year, I will be more confident using APA format, and this has been a great chance to put everything we have learned into real practice. As I submit, I feel overwhelmed with emotions - joy that it's complete but also sad that it is over as it has been such a journey. I want to continue more research into the dark personality traits.","Throughout this project, I have learned to be logical and patient among other things. My fascination with narcissism and the dark personality traits stemmed from first year when I explored manipulation for my extended essay. In this project, I got to test my own ideas in real life and get involved in exploring this dark side of personality. Thankfully, there were not many narcissists in our 2nd year labs; however, this was frustrating for data collection as it meant I had an extremely imbalanced sample and could not score the statements the usual way. This required problem-solving, and with the help of my lab tutor, we found a solution. Working in a team was another frustrating experience when trying to adapt a study for everyone; however, we made it work, and everyone collaborated with equal effort in the beginning to find middle ground. From this experience, I have learned that I value working with a team and sharing ideas, as some of the ideas I hadn't thought of. Even if some members stopped turning up, I think I could have made more of an effort to encourage them and give them reasons to keep making the effort they had initially.

   Furthermore, ANOVA was an accurate analysis to run; I feel confident in using this and would be happy to conduct an ANOVA again next year or explore something different. My biggest realization was that time management is essential - I started this project way in advance and did it in steps, which eased a lot of pressure and made it manageable. This allowed me to still enjoy the project throughout. For next year, I will be more confident using APA format, and this has been a great chance to put everything we have learned into real practice.

   As I submit, I feel overwhelmed with emotions - joy that it's complete but also sad that it is over as it has been such a journey. I want to continue more research into the dark personality traits.",0.036,0.873,0.091,0.9177,,Relieved,"Time Management, Teamwork, Data Analysis, Confidence, Personal Growth"
"Looking back, my research journey didn't start smoothly. I was allocated a lab group whose interests revolved around conspiracy theories, which clashed with my academic goals. This was frustrating but taught me the importance of working with a team focused on genuine, evidence-based research. To build a strong foundation for our project, I dove into extensive research in my area of interest, reviewing existing studies to find gaps we could address. This helped us create a study relevant to Perception of Witness Credibility and well-structured. I came up with three potential study designs and invited my teammates to help decide which one to pursue, ensuring everyone felt included and invested in our project. Naturally, my strong understanding of the subject and motivation led me to take a leadership role during the planning phase. However, I faced the challenge of combining everyone's different ideas into a single, clear plan while maintaining scientific accuracy. The varying levels of knowledge among group members made collaboration tricky, and I often found myself guiding the direction of the study while keeping everyone engaged.

One major obstacle we encountered was the unexpectedly long duration of our study that caused many participants to drop out. They were hesitant to commit due to the lengthy nature of the study. Even though our randomization process went smoothly, the lower-than-expected participant numbers pushed me to step outside my comfort zone and actively recruit more participants around campus. This was challenging but ultimately boosted my confidence in promoting my research and reaching out to people.

Organizing the data we collected took a lot of effort, but once we sorted it out, analyzing it turned out to be a rewarding experience, revealing some interesting findings. I struggled with the urge to overanalyze the results, reminding myself of the importance of staying disciplined in interpreting data. This experience taught me how to design future studies more efficiently.

Working in a team presented its own set of challenges, especially since I usually prefer working alone. This project encouraged me to let go of some control and trust my teammates with different parts of the research. This was a key moment for my personal growth, as I learned to balance being a leader with collaborating with others.

I realized that my tendency to overwork and focus too much on small details sometimes slowed us down. I often created overly complicated data sheets that confused my teammates and required extra time to explain my thought process. This experience highlighted for me that keeping things simple can improve both efficiency and clarity in research.

The lessons I learned from this experience will be invaluable as I move on to my third-year dissertation and other future projects. I now have a deeper appreciation for collaborative research, effective data management, and the importance of clear study design. I'm excited to apply these insights to my upcoming work, ensuring that I maintain both scientific accuracy and practicality.","Looking back, my research journey didn't start smoothly. I was allocated a lab group whose interests revolved around conspiracy theories, which clashed with my academic goals. This was frustrating but taught me the importance of working with a team focused on genuine, evidence-based research. To build a strong foundation for our project, I dove into extensive research in my area of interest, reviewing existing studies to find gaps we could address. This helped us create a study relevant to Perception of Witness Credibility and well-structured. I came up with three potential study designs and invited my teammates to help decide which one to pursue, ensuring everyone felt included and invested in our project. Naturally, my strong understanding of the subject and motivation led me to take a leadership role during the planning phase. However, I faced the challenge of combining everyone's different ideas into a single, clear plan while maintaining scientific accuracy. The varying levels of knowledge among group members made collaboration tricky, and I often found myself guiding the direction of the study while keeping everyone engaged. One major obstacle we encountered was the unexpectedly long duration of our study that caused many participants to drop out. They were hesitant to commit due to the lengthy nature of the study. Even though our randomization process went smoothly, the lower-than-expected participant numbers pushed me to step outside my comfort zone and actively recruit more participants around campus. This was challenging but ultimately boosted my confidence in promoting my research and reaching out to people. Organizing the data we collected took a lot of effort, but once we sorted it out, analyzing it turned out to be a rewarding experience, revealing some interesting findings. I struggled with the urge to overanalyze the results, reminding myself of the importance of staying disciplined in interpreting data. This experience taught me how to design future studies more efficiently. Working in a team presented its own set of challenges, especially since I usually prefer working alone. This project encouraged me to let go of some control and trust my teammates with different parts of the research. This was a key moment for my personal growth, as I learned to balance being a leader with collaborating with others. I realized that my tendency to overwork and focus too much on small details sometimes slowed us down. I often created overly complicated data sheets that confused my teammates and required extra time to explain my thought process. This experience highlighted for me that keeping things simple can improve both efficiency and clarity in research. The lessons I learned from this experience will be invaluable as I move on to my third-year dissertation and other future projects. I now have a deeper appreciation for collaborative research, effective data management, and the importance of clear study design. I'm excited to apply these insights to my upcoming work, ensuring that I maintain both scientific accuracy and practicality.",0.04,0.744,0.216,0.9986,,Resilient,"Teamwork, Data Analysis, Research Design, Personal Growth"
Completing empirical research project on interaction between extraversion emotional context emotion perception via eye contact was highly informative experience deepened understanding of research process improved skills in psychological inquiry. Initially developing hypotheses straightforward supported extensive literature. However encountered unexpected results such as introverts outperforming extraverts accurately perceiving negative emotions challenged assumptions emphasized importance maintaining flexibility research expectations. One valuable lesson significance methodological rigor highlighted notable differences observed when using averages versus summed scores. This underscored awareness seemingly minor analytical decisions critically impact research findings interpretations. While participating project strengthened teamwork skills. Although one group member consistently missed weekly lab sessions causing coordination communication difficulties rest of us established strong collaborative relationship. Enabled us successfully meet essential internal deadlines including critical proposal ethics form data collection stages. Importantly diverse perspectives greatly enriched analysis interpretation stages research enabling more comprehensive understanding findings. Reflecting experience recognize critical importance proactive communication structured planning clear delegation roles group settings. Moving forward committed further honing critical thinking skills personality emotion context optimizing dissertation experience contributing effectively meaningfully psychological research.,"Completing empirical research project on interaction between extraversion, emotional context and emotion perception via eye contact was a highly informative experience that deepened my understanding of the research process and improved my skills in psychological inquiry. Initially developing hypotheses based on extensive literature support, however encountered unexpected results such as introverts outperforming extraverts in accurately perceiving negative emotions. This challenged assumptions, emphasizing the importance of maintaining flexibility in research expectations. One valuable lesson was the significance of methodological rigor, highlighted by notable differences observed when using averages versus summed scores. This underscored awareness that seemingly minor analytical decisions can critically impact research findings and interpretations. While participating in this project strengthened my teamwork skills, although one group member consistently missed weekly lab sessions causing coordination and communication difficulties. However, the rest of us established a strong collaborative relationship and enabled us to successfully meet essential internal deadlines including critical proposal and ethics form submissions during data collection stages. Importantly, diverse perspectives greatly enriched analysis and interpretation stages of the research, enabling more comprehensive understanding of the findings. Reflecting on this experience, I recognize the critical importance of proactive communication, structured planning, clear delegation of roles in group settings. Moving forward, I am committed to further honing my critical thinking skills, optimizing personality-emotion context for a meaningful dissertation experience, and contributing effectively to psychological research.",0.062,0.75,0.188,0.9837,,Motivated,"Research Process, Teamwork, Methodology, Critical Thinking"
"Completing this mini dissertation was a valuable yet challenging learning experience. One of the most difficult aspects for me was using SPSS. At the start, I found it overwhelming to navigate the software, label variables correctly, and interpret outputs. I often made mistakes when entering data or selecting the right tests, which initially affected my confidence. However, through practice, feedback, and external guidance, I gradually became more comfortable with running the appropriate analyses, including a 2x2 mixed ANOVA. This project also deepened my understanding of the research process as a whole from developing a hypothesis to interpreting results and presenting them in APA format. I learned how crucial it is to check assumptions, clearly report findings, and remain critical of my own methodology. For instance, I became aware that using mostly psychology students as participants reduced the generalisability and ecological validity of my findings. Despite the struggles, especially with statistics, I feel proud of how much Iâve learned. The experience improved my academic writing and taught me to approach data more carefully and analytically. Going forward, I will carry these skills into future assignments and research, feeling more prepared and confident as a psychology student.","Completing this mini dissertation was a valuable yet challenging learning experience. One of the most difficult aspects for me was using SPSS. At the start, I found it overwhelming to navigate the software, label variables correctly, and interpret outputs. I often made mistakes when entering data or selecting the right tests, which initially affected my confidence. However, through practice, feedback, and external guidance, I gradually became more comfortable with running the appropriate analyses, including a 2x2 mixed ANOVA. This project also deepened my understanding of the research process as a whole from developing a hypothesis to interpreting results and presenting them in APA format. I learned how crucial it is to check assumptions, clearly report findings, and remain critical of my own methodology. For instance, I became aware that using mostly psychology students as participants reduced the generalisability and ecological validity of my findings. Despite the struggles, especially with statistics, I feel proud of how much I’ve learned. The experience improved my academic writing and taught me to approach data more carefully and analytically. Going forward, I will carry these skills into future assignments and research, feeling more prepared and confident as a psychology student.",0.042,0.815,0.144,0.9655,,Relieved,Research Process & Skill Development
"The prospect of conducting a mini dissertation initially felt daunting, particularly as I typically prefer working independently. However, my team quickly formed a strong bond, and I thoroughly enjoyed the time we spent collaborating. Unfortunately, from December, I was diagnosed with a chronic health condition that prevented me from leaving home for extended periods without supervision. One of my team members and I maintained a close relationship, exchanging numerous messages about the project during this time, which enabled me to remain involved in the team effort. This proved invaluable as I became quite anxious about the project overall. This experience taught me that even during challenging personal circumstances, projects such as these can still be accomplished with open communication. The data analysis was extremely intimidating for me due to my lack of numerical aptitude; it took a significant amount of time and numerous attempts to execute the test correctly. However, learning in this manner provided a sense of accomplishment when I finally ran it without errors, boosting my confidence in running statistical tests in the future. I was disappointed not to find a significant result, particularly as the effect of Crime Type nearly reached statistical significance. This experience left me eager to conduct further research in pursuit of a meaningful outcome and encouraged me to reflect on areas where I could have improved my methodology. I now eagerly anticipate conducting research in the future and exploring numerous ideas, regardless of whether a significant result is achieved or not. I've come to understand that when designing a study, it cannot be perfect; there will always be limitations, but the goal should be to continuously improve and refine research over time.","The prospect of conducting a mini dissertation initially felt daunting, especially as I prefer working independently. However, my team quickly formed a strong bond, and I enjoyed collaborating with them. Unfortunately, from December, I was diagnosed with a chronic health condition that prevented me from leaving home for extended periods without supervision. One of my team members and I maintained a close relationship, exchanging numerous messages about the project during this time, which allowed me to stay involved in the team effort. This proved valuable as I became anxious about the project overall. This experience taught me that even during challenging personal circumstances, projects such as these can still be accomplished with open communication. The data analysis was extremely intimidating due to my lack of numerical aptitude; it took a significant amount of time and numerous attempts to execute the test correctly. However, learning in this manner provided a sense of accomplishment when I finally ran it without errors, boosting my confidence in running statistical tests in the future. I was disappointed not to find a significant result, particularly as the effect of Crime Type nearly reached statistical significance. This experience left me eager to conduct further research in pursuit of a meaningful outcome and encouraged me to reflect on areas where I could have improved my methodology. I now eagerly anticipate conducting research in the future and exploring numerous ideas, regardless of whether a significant result is achieved or not. I've come to understand that when designing a study, it cannot be perfect; there will always be limitations, but the goal should be to continuously improve and refine research over time.",0.05,0.829,0.121,0.9178,,Resilient,"Perseverance, Communication, Research Design"
"The mini-dissertation was a group project conducted during second year. In Term One, we designed an experiment for a 2x2 ANOVA, while in Term Two we executed the experiment and wrote the dissertation. It is essential to note that I previously attempted to complete the second year of this course but had to take a leave of absence due to health issues during the start of the second term. This was my second attempt at designing and conducting an experiment in a group setting, yet my first time analyzing and writing the results. I found this a stressful experience. I believe I felt pressure because it was my second time trying to complete the project, and it was heavily weighted. However, I also discovered the project significantly easier than anticipated, and even enjoyable in parts, such as creating vignettes or learning about my chosen DV. I felt more confident on the second attempt due to familiarity with each section of the process. What alleviated my stress were staying organized and being early for each phase since I naturally take longer than others with certain aspects of work. The best parts of the project were the group I was in. All members were productive and interactive, so I never felt overwhelmed with work. We frequently met up to discuss the experiment outside of lab and had an active WhatsApp group. It was beneficial having a group to rely on when confused, and in return, I helped out the other members as well. We all chose similar DVs for this purpose, enabling us to share our favorite research articles. I understand that my experience was unusual. I believe that the group dynamic I received was partly due to luck but also because we communicated frequently and effectively. In a future project, I would choose to work with this group again as we were highly productive together, completing each section quickly. Initially, we had the opportunity to perform a within-subjects design (which meant we would need only around 30 participants), but decided because we were all very motivated to do a between groups design, which we believed would be more meaningful. I took an extended time to write up the dissertation, starting in the first term, and working on it consistently for a few hours every week until the deadline. I often underestimate how long it takes me to draft. However, this method does allow me enough time for each section, and I never felt rushed. I am satisfied with the final result, and hopefully, the grade will reflect the effort I put in. In conclusion, this assignment taught me a lot. Although the experience was stressful, I believe this is partly due to my personality and because any new endeavor with a deadline will be stressful. I made some good friends during this process and enjoyed certain sections. The most challenging part was writing up; however, I hope the work I put in this time will make it easier for the next one. This was completed using the Gibbs (1988) reflective account model.","The mini-dissertation, a group project conducted during second year, designed an experiment for a 2x2 ANOVA in Term One and executed it in Term Two. It is important to note that I previously attempted this course but had to take a leave of absence due to health issues at the start of the second term; this was my second attempt at designing and conducting an experiment in a group setting, yet my first time analyzing and writing the results. I found this experience stressful. However, the project turned out to be easier than anticipated and even enjoyable, especially when creating vignettes or learning about my chosen DV. I felt more confident on the second attempt due to familiarity with each section of the process. Staying organized and being early for each phase alleviated my stress as I naturally take longer than others with certain aspects of work. The group was productive and interactive, so I never felt overwhelmed with work; we frequently met up to discuss the experiment outside of lab and had an active WhatsApp group. This was beneficial when confused, and in return, I helped out other members as well. We all chose similar DVs for this purpose, enabling us to share our favorite research articles. My experience may have been unusual; however, I believe the group dynamic was partly due to luck but also effective communication. In a future project, I would choose to work with this group again as we were highly productive together. Initially, we had the opportunity to perform a within-subjects design (which meant we would need only around 30 participants), but decided because we were all very motivated to do a between groups design, which we believed would be more meaningful. I spent an extended time writing up the dissertation, starting in the first term and working on it consistently for a few hours every week until the deadline. I often underestimate how long it takes me to draft, but this method allows enough time for each section and I never felt rushed. I am satisfied with the final result and hope the grade will reflect my effort. The assignment taught me a lot; although the experience was stressful, I believe this is partly due to my personality and because any new endeavor with a deadline will be stressful. I made some good friends during this process and enjoyed certain sections. Writing up was the most challenging part; however, I hope the work I put in this time will make it easier for the next one. This account follows the Gibbs (1988) reflective account model.",0.049,0.773,0.178,0.9968,"It is important to note that I previously attempted this course but had to take a leave of absence due to health issues at the start of the second term; this was my second attempt at designing and conducting an experiment in a group setting, yet my first time analyzing and writing the results. || In a future project, I would choose to work with this group again as we were highly productive together.",Relieved,"Collaborative Learning, Time Management, Communication"
"This mini-dissertation project was challenging yet rewarding. Research methods has consistently been my favorite module of the course due to its hands-on nature, which I prefer over the more bookish nature of other modules. The formula of writing lab reports is something I understand better than essay writing, and it also allows me to read and understand scientific journals outside of the course, a valuable skill I've learned during my university years.

   Our group project was an in-person experiment, which I enjoyed but makes me hesitant about conducting in-person studies next year due to the increased workload, time commitments, and difficulty in acquiring participants, resulting in less generated data. As a first-year student, most of the studies I completed for research credits were online studies, and this is likely the case for most first-year students. This isn't meant to be negative, but rather a consideration of what will yield the best results for my dissertation.

   If I find a topic I am deeply interested in that requires in-person experiments next year, I will gladly do it and be grateful for the experience gained this year. The analysis was one of the parts of the write-up that I struggled with more than expected, as we've only ever done simple analysis in the past, and this had a multitude of steps. While I understand it well enough in SPSS, when it comes to the results section, I can only hope I provided the correct information in the proper format.

   I also faced challenges finding resources on the VLE, but once found, they were extremely helpful with formatting, which I find extremely satisfying, albeit a bit nerdy.

   In conclusion, this project was challenging yet rewarding. I look forward to next year.","This mini-dissertation project was challenging yet rewarding. Research methods has consistently been my favorite module of the course due to its hands-on nature, which I prefer over the more bookish nature of other modules. The formula of writing lab reports is something I understand better than essay writing, and it also allows me to read and understand scientific journals outside of the course, a valuable skill I've learned during my university years. Our group project was an in-person experiment, which I enjoyed but makes me hesitant about conducting in-person studies next year due to increased workload, time commitments, and difficulty in acquiring participants, resulting in less generated data. As a first-year student, most of the studies I completed for research credits were online studies, and this is likely the case for most first-year students. This isn't meant to be negative, but rather a consideration of what will yield the best results for my dissertation. If I find a topic I am deeply interested in that requires in-person experiments next year, I will gladly do it and be grateful for the experience gained this year. The analysis was one of the parts of the write-up that I struggled with more than expected, as we've only ever done simple analysis in the past, and this had a multitude of steps. While I understand it well enough in SPSS, when it comes to the results section, I can only hope I provided the correct information in the proper format. I also faced challenges finding resources on the VLE, but once found, they were extremely helpful with formatting, which I find extremely satisfying, albeit a bit nerdy. In conclusion, this project was challenging yet rewarding. I look forward to next year.",0.044,0.771,0.184,0.9924,,Motivated,"Research Skills and Methods, Data Analysis, Time Management"
"To have the opportunity to create a research project during our second year was extremely helpful, and I am very grateful as it has got me excited for next year's dissertation. Working in a group was extremely useful, as everybody was proactive and determined to create the best study we could. There were debates about creating the study, but nothing that created an awkward environment or wasn't immediately resolved, strengthening our work ethic. We had issues with creating independent and dependent variables at first, but with help from each other and our lab tutor, we overcame those difficulties. I particularly enjoyed using Gorilla software for this study, as it provided insight into what I can use next year for my research project. Although understanding the software was difficult initially, specifically the data collection spreadsheets, I quickly developed my understanding of the software and created an effective online study. The whole group contributed to creating the Gorilla study, so help was always available when needed. I also enjoyed the statistics side of psychology as I do not mind SPSS, making analysis successful, and brushing up on my skills made me more confident. Overall, this process was extremely fulfilling, and I enjoyed working with this group to create a study. This experience helped me identify my weaknesses and areas for improvement before third year, and I now know what was successful for me, which I can use when brainstorming for my dissertation project.","To have the opportunity to create a research project during our second year was extremely helpful, and I am very grateful as it has gotten me excited for next year's dissertation. Working in a group was extremely useful, as everyone was proactive and determined to create the best study we could. There were debates about creating the study, but nothing that created an awkward environment or wasn't immediately resolved, strengthening our work ethic. We had issues with creating independent and dependent variables at first, but with help from each other and our lab tutor, we overcame those difficulties. I particularly enjoyed using Gorilla software for this study, as it provided insight into what I can use next year for my research project. Although understanding the software was difficult initially, specifically the data collection spreadsheets, I quickly developed my understanding of the software and created an effective online study. The whole group contributed to creating the Gorilla study, so help was always available when needed. I also enjoyed the statistics side of psychology as I do not mind SPSS, making analysis successful, and brushing up on my skills made me more confident. Overall, this process was extremely fulfilling, and I enjoyed working with this group to create a study. This experience helped me identify my weaknesses and areas for improvement before third year, and I now know what was successful for me, which I can use when brainstorming for my dissertation project.",0.061,0.687,0.253,0.9954,,Grateful,"Collaborative Research, Tools & Methods, Personal Growth"
"From the beginning, the mini-dissertation group project, worth a high percentage, felt extremely daunting. This feeling decreased with time and experience. Having a group of 4 that I already have a close bond with helped massively as we understand each other well. From the get-go, we brainstormed many ideas and creativity flowed between us, meaning we created the fundamental ideas for this project quite early on. Despite this, I personally faced many challenges as my attendance began to fall a little due to illness and other personal aspects, but I tried my best to catch up and my group thoughtfully updated me and helped explain new additions to the plan that I may have missed out. As our mini-diss was an in-person experiment, we knew we had to recruit as many people as possible which took a lot of time, so we successfully distributed assigned roles to tackle the complexity and time-inducing aspect of this. Once majority of the data was collected and I began plotting my results and gathering my findings accordingly, I felt quickly overwhelmed. There were a lot of figures to work with and tension did begin to rise within the group as some were more stressed with working with SPSS than others. But this quickly resolved with some communication. Personally, I was confused with a few features of our experiment and how we had our own areas to work on, resulting in being frustrated with myself and my understanding as it seems like the others knew exactly what to do. I had many mixed emotions creating this investigation. There were moments I felt bored, however collecting varied ends of the spectrum results was interesting. I enjoyed the fact that participants themselves were really intrigued with the aims of the study and got stuck in which made me keener to continue the enthusiasm. I have felt a sense of accomplishment now completing this project with more confidence for next year.
   RUNNING HEAD: Mini-Dissertation Project - A Personal Reflection (50 characters max)","Mini-Dissertation Project - Personal Reflections (50 chars)

   From the beginning, felt daunting but decreased with time. Close bond w/group helped. Brainstormed ideas early on. Faced challenges due to illness. Group updated me and helped explain new additions. Recruited many people for in-person experiment. Overwhelmed by data analysis, tension rose but quickly resolved with communication. Confused with experiment features, felt frustrated with understanding. Mixed emotions: boredom, intrigue, enjoyment of participant enthusiasm. Felt a sense of accomplishment upon completion.",0.174,0.687,0.139,-0.6652,,Relieved,Collaboration and Data Analysis
"This process has taught me a lot about data collection and research. The sample within this research was not as large as initially thought. I didn't account for people not completing the whole study or answering no to consent questions. Moving forward, I will try to put my research on platforms and encourage more people to take part. Another unexpected challenge was overthinking all possible confounding variables. I wanted to control all potential influencing variables; however, this reduced the generalizability of certain elements of the research. For future reference, I will consider weighing up the generalizability of the study with confounding variables and maybe learn when to trade them off for each other.

Positives I have learnt from this research include newfound confidence in SPSS and a deep dive into literature. I was skeptical about using SPSS; however, working with my own data set allowed me to experiment, fail at many statistical elements, before settling on estimated marginal means with the 2x2 ANOVA A. Additionally, using a wide scope of research enabled me to analyze it in ways I had not before. It is okay for research to contradict what one is trying to find and see this as a positive. Finding research contradicting my findings allowed me to generate new discussions and areas for future research.

Originally, I thought that not significant results did not inform the researcher as much as significant results, however I now see this as incorrect. The not-significant results from my research have helped understand how it points research in a new direction and does not mean the research was a waste of time. I enjoyed learning about my views on research and considering the real-world impacts on the judicial system.

Overall, I learned a lot from this project in terms of technical skills, but also learned that my attitude to research needs to change.","This process taught me a lot about data collection and research. The sample was smaller than initially anticipated due to people not completing the study or declining consent. Moving forward, I will place my research on platforms and encourage more participation. An unexpected challenge was overthinking all potential confounding variables, aiming to control all influencing factors; however, this reduced the generalizability of certain aspects. For future studies, I will consider balancing the generalizability with controlling confounding variables.

   Positives include newfound confidence in SPSS and a deep dive into literature. Skeptical about using SPSS, working with my own data set allowed me to experiment, fail at many statistical elements, before settling on estimated marginal means with the 2x2 ANOVA A. Additionally, adopting a wide scope of research enabled me to analyze it in ways I had not before. It is okay for research to contradict what one is trying to find and see this as positive. Finding research contradicting my findings allowed me to generate new discussions and areas for future research.

   Originally, I thought that non-significant results did not inform the researcher as much as significant results; however, I now see this as incorrect. Non-significant results from my research have helped understand how it points research in a new direction and does not mean the research was a waste of time.

   Overall, I learned a lot from this project in terms of technical skills, but also learned that my attitude to research needs to change.",0.036,0.903,0.062,0.5719,,Reflective,Research Methodology & Attitude
"Reflecting on my mini dissertation experience, I've gained valuable insights into both the research process and my personal growth as a researcher. From the beginning, I was fortunate to have a group as passionate and determined as myself. Everyone was excited to conduct in-person research, making the whole process more enjoyable and engaging. I had a clear vision of my research topic from the first Research-Methods lecture, as I had explored it in my own previous studies. Through discussions with my supervisor and research group, we narrowed the focus to mindfulness meditation, making the whole project more manageable and effective long term. At first, we thought we were all researching the same topic together, so for a while, there was some minor confusion with our IVs and DVs but that was soon resolved. The other three members of my group focused on related topics such as mindfulness states during meditation and heart rate during the types of meditation, creating a collaborative atmosphere that motivated us all to dive deeper into our research. One challenge I encountered was analyzing and interpreting the data, but this taught me the importance of being flexible and adjusting interpretations when things do not go as planned. Originally, we had built a single-electrode EEG system to measure brain activity, but after facing difficulties, the decision was made to switch to measuring HRV. Though frustrating, this change happened early, allowing us to adapt quickly and keep moving forward. We spent two months in our experimental room, refining our methods and collecting data. Overall, this experience deepened my appreciation for empirical research and will shape how I approach future projects. For example, I was inspired to use quantitative data for my third-year dissertation as this process of collecting data was exciting. This research has helped guide me to my choices for conducting my data in the future.","Reflecting on my mini dissertation experience, I've gained valuable insights into both the research process and my personal growth as a researcher. From the beginning, I had a passionate and determined group. We enjoyed conducting in-person research and narrowed our focus to mindfulness meditation, making the project more manageable and effective long term. At first, there was some minor confusion with IVs and DVs, but this was soon resolved. The other three members of my group focused on related topics such as mindfulness states during meditation and heart rate during types of meditation, creating a collaborative atmosphere that motivated us all to dive deeper into our research. Analyzing and interpreting data presented a challenge, but it taught me the importance of being flexible and adjusting interpretations when things do not go as planned. Originally, we had built a single-electrode EEG system to measure brain activity, but faced difficulties and switched to measuring HRV. Though frustrating, this change happened early, allowing us to adapt quickly and keep moving forward. We spent two months in our experimental room, refining our methods and collecting data. This experience deepened my appreciation for empirical research and inspired me to use quantitative data for future projects. This research has guided my choices for conducting my data in the future.",0.033,0.781,0.185,0.9868,,Resilient,Research Process & Personal Growth
