theme,count,avg_sentiment,sample_comments
"Research Process, Confidence, Planning, Data Analysis",1,0.9914,"I was nervous but excited when I first started my research project; daunting to think that I undertook such a big task as I've never conducted my own study before. Completing the task was fulfilling yet frustrating. Initially, I struggled with narrowing the research scope. I spent a significant amount of time refining the study question and choosing the most suitable measures because I did not know what to focus on in the components. The importance of having clear instructions and rules for the participants became apparent, especially during data gathering. Due to health reasons, I missed several sessions and fell behind significantly but with help from other researchers, I was able to catch up. Data collection posed challenges such as dealing with incomplete responses or misread questions. These issues made it clear that I had to be prepared for unexpected difficulties. My first challenge was data analysis; it was very difficult to understand the data and ensure that my statistical tests were accurate. At times, I wondered if I was doing it right. With help and time to proofread my own work, I gradually gained confidence in using SPSS and interpreting results. This experience taught me the value of patience, flexibility, and persistence in research. It reinforced the significance of planning, particularly choosing reliable measurements and anticipating problems. Overall, the process deepened my understanding of research processes and increased my confidence in pursuing more investigations despite periods of frustration and unclear moments. Ultimately, the mini-dissertation has made me feel more confident about tackling the final year dissertation now because I understand more about data analysis and data collection and have more confidence in what I can do. || I was nervous but excited when I first started my research project; daunting to think that I undertook such a big task as I've never conducted my own study before. Completing the task was fulfilling yet frustrating. Initially, I struggled with narrowing the research scope. I spent a significant amount of time refining the study question and choosing the most suitable measures because I did not know what to focus on in the components. The importance of having clear instructions and rules for the participants became apparent, especially during data gathering. Due to health reasons, I missed several sessions and fell behind significantly but with help from other researchers, I was able to catch up. Data collection posed challenges such as dealing with incomplete responses or misread questions. These issues made it clear that I had to be prepared for unexpected difficulties. My first challenge was data analysis; it was very difficult to understand the data and ensure that my statistical tests were accurate. At times, I wondered if I was doing it right. With help and time to proofread my own work, I gradually gained confidence in using SPSS and interpreting results. This experience taught me the value of patience, flexibility, and persistence in research. It reinforced the significance of planning, particularly choosing reliable measurements and anticipating problems. Overall, the process deepened my understanding of research processes and increased my confidence in pursuing more investigations despite periods of frustration and unclear moments. Ultimately, the mini-dissertation has made me feel more confident about tackling the final year dissertation now because I understand more about data analysis and data collection and have more confidence in what I can do."
"Research Process, Personal Growth, Data Analysis, Independence",1,0.9926,"Moving from first year to doing a mini-dissertation was undeniably terrifying. It felt like this big, scary thing in my mind, and I was honestly really worried. After meeting my group, I felt more at ease as they were really lovely people, and we were able to come up with an idea for our mini-dissertation quickly. I still felt really anxious throughout the process, but it was really nice to have people who provided lots of help (and also my lovely lab tutor). After the research went live things felt easy, I genuinely thought the hard part was over. I had completely forgotten about cleaning the data and data analysis... At first cleaning the data felt really long, and I was unsure what to keep and what to delete however once I realised what I needed and what needed to go it was honestly fun to clean the data and organise it so that it can be inputted into SPSS. Statistical tests are definitely not one of my strong suits, so I found that confusing and I was honestly not expecting my data to be non-significant. I'm really glad we had a mini-dissertation to do. Obviously, during the processes, it made me feel many emotions...and I was really stressed out. However, now that it is over I can look back and feel proud that I was able to conduct my own study (not quite on my own!). I am still really scared about conducting my own research in 3rd year as that will be an independent task, however, now that I have a feel for what it is like I know I'll get through it no matter what and then I'll really feel like a psychologist. || Moving from first year to doing a mini-dissertation was undeniably terrifying. It felt like this big, scary thing in my mind, and I was honestly really worried. After meeting my group, I felt more at ease as they were really lovely people, and we were able to come up with an idea for our mini-dissertation quickly. I still felt really anxious throughout the process, but it was really nice to have people who provided lots of help (and also my lovely lab tutor). After the research went live things felt easy, I genuinely thought the hard part was over. I had completely forgotten about cleaning the data and data analysis... At first cleaning the data felt really long, and I was unsure what to keep and what to delete however once I realised what I needed and what needed to go it was honestly fun to clean the data and organise it so that it can be inputted into SPSS. Statistical tests are definitely not one of my strong suits, so I found that confusing and I was honestly not expecting my data to be non-significant. I'm really glad we had a mini-dissertation to do. Obviously, during the processes, it made me feel many emotions...and I was really stressed out. However, now that it is over I can look back and feel proud that I was able to conduct my own study (not quite on my own!). I am still really scared about conducting my own research in 3rd year as that will be an independent task, however, now that I have a feel for what it is like I know I'll get through it no matter what and then I'll really feel like a psychologist."
"Research Process, Teamwork",1,0.9948,"I was always aware since year 1 that it was necessary for all students to complete a dissertation by the end of year 3, however this thought had been rather scary until now. This mini-dissertation provided an opportunity to practice the skills required to perform well in my dissertation next year. It was far from easy or perfect, but I learned immensely during the low moments when I felt lost in what I was doing, and from any mistakes made along the way. This experience now leaves me feeling prepared and much more at ease for the academic year ahead. To elaborate, analyzing the data collected from my research proved challenging and overwhelming at times. However, the more time I spent with SPSS, I was able to reach correct conclusions. For me, the excitement I have derived from figuring out how to navigate data analysis has made it the best part of this project for me. It provided a great sense of achievement knowing that I overcame any doubts or confusion in my mind. Another highlight of this project was receiving responses from our study. My team and I were pleasantly surprised by the number of participants we got so quickly, making the data collection process smooth sailing. Working as a group has been one of the main reasons I felt more comfortable starting this project. At first, I was worried about working with others due to concerns over conflicting ideas, however this was not the case. My team and I had similar interests going into this, and each member brought different ideas and solutions to issues. Communication has been good, despite not everyone being in the labs at the same times. In particular, I took some time off for an unexpected Pro-Social Behaviour 15 last-minute surgery. I ensured to keep in touch with my team while recovering, asking what I could do from home. My team was extremely thoughtful and helpful during this time. Designing my own research, analyzing and reporting it has given me a great insight into what being a psychologist is. Our essays mean we must examine many reports and studies, and it has been enlightening to experience the process of these studies from start to finish. || I was always aware since year 1 that it was necessary for all students to complete a dissertation by the end of year 3, however this thought had been rather scary until now. This mini-dissertation provided an opportunity to practice the skills required to perform well in my dissertation next year. It was far from easy or perfect, but I learned immensely during the low moments when I felt lost in what I was doing, and from any mistakes made along the way. This experience now leaves me feeling prepared and much more at ease for the academic year ahead. To elaborate, analyzing the data collected from my research proved challenging and overwhelming at times. However, the more time I spent with SPSS, I was able to reach correct conclusions. For me, the excitement I have derived from figuring out how to navigate data analysis has made it the best part of this project for me. It provided a great sense of achievement knowing that I overcame any doubts or confusion in my mind. Another highlight of this project was receiving responses from our study. My team and I were pleasantly surprised by the number of participants we got so quickly, making the data collection process smooth sailing. Working as a group has been one of the main reasons I felt more comfortable starting this project. At first, I was worried about working with others due to concerns over conflicting ideas, however this was not the case. My team and I had similar interests going into this, and each member brought different ideas and solutions to issues. Communication has been good, despite not everyone being in the labs at the same times. In particular, I took some time off for an unexpected Pro-Social Behaviour 15 last-minute surgery. I ensured to keep in touch with my team while recovering, asking what I could do from home. My team was extremely thoughtful and helpful during this time. Designing my own research, analyzing and reporting it has given me a great insight into what being a psychologist is. Our essays mean we must examine many reports and studies, and it has been enlightening to experience the process of these studies from start to finish."
"Research Process, Teamwork, Methodology, Critical Thinking",1,0.9808,"Completing empirical research project on the interaction between extraversion, emotional context, and emotion perception via eye contact was a highly informative experience that deepened my understanding of the research process and improved my skills in psychological inquiry. Initially, developing hypotheses was straightforward and supported extensive literature. However, unexpected results such as introverts outperforming extraverts in accurately perceiving negative emotions challenged assumptions and emphasized the importance of maintaining flexibility in research expectations. One valuable lesson I learned is the significance of methodological rigor, highlighted by notable differences observed when using averages versus summed scores. This underscored my awareness that seemingly minor analytical decisions can critically impact research findings and interpretations. While participating in this project, my teamwork skills were strengthened. Although one group member consistently missed weekly lab sessions, causing coordination and communication difficulties, the rest of us established a strong collaborative relationship. This enabled us to successfully meet essential internal deadlines including critical proposal, ethics form, data collection stages. Importantly, diverse perspectives greatly enriched the analysis and interpretation stages of the research, enabling a more comprehensive understanding of our findings. Reflecting on this experience, I recognize the critical importance of proactive communication, structured planning, clear delegation of roles in group settings. Moving forward, I am committed to further honing my critical thinking skills, optimizing the dissertation experience, and contributing effectively and meaningfully to psychological research. || Completing empirical research project on the interaction between extraversion, emotional context, and emotion perception via eye contact was a highly informative experience that deepened my understanding of the research process and improved my skills in psychological inquiry. Initially, developing hypotheses was straightforward and supported extensive literature. However, unexpected results such as introverts outperforming extraverts in accurately perceiving negative emotions challenged assumptions and emphasized the importance of maintaining flexibility in research expectations. One valuable lesson I learned is the significance of methodological rigor, highlighted by notable differences observed when using averages versus summed scores. This underscored my awareness that seemingly minor analytical decisions can critically impact research findings and interpretations. While participating in this project, my teamwork skills were strengthened. Although one group member consistently missed weekly lab sessions, causing coordination and communication difficulties, the rest of us established a strong collaborative relationship. This enabled us to successfully meet essential internal deadlines including critical proposal, ethics form, data collection stages. Importantly, diverse perspectives greatly enriched the analysis and interpretation stages of the research, enabling a more comprehensive understanding of our findings. Reflecting on this experience, I recognize the critical importance of proactive communication, structured planning, clear delegation of roles in group settings. Moving forward, I am committed to further honing my critical thinking skills, optimizing the dissertation experience, and contributing effectively and meaningfully to psychological research."
Research Skills & Confidence,1,0.9845,"Throughout this project, I have gained a significantly deeper understanding of psychological research. Readings and studies assigned throughout the academic year provided me with a solid foundation in psychology; however, hands-on experience of conducting research has truly enhanced my knowledge - a key reason for choosing this university. The journey of completing this mini-dissertation was not without challenges; setup issues with SPSS data caused significant problems during ANOVA and descriptive statistics analysis. Multiple lecturers' guidance proved incredibly helpful, both in troubleshooting technical issues and strengthening my understanding of the software, boosting confidence in data analysis. The writing process presented its own set of challenges - repetition of key points across different sections of the dissertation led me to reflect on creating a coherent and concise flow in future assignments. Although this project has been difficult at times, it has provided valuable learning experiences. Though my submission is not what I ideally would have it look like, I am proud of the progress I have made. I eagerly anticipate receiving feedback, as I believe it will be beneficial for further refining research skills and advancing my academic journey for the next year. || Throughout this project, I have gained a significantly deeper understanding of psychological research. Readings and studies assigned throughout the academic year provided me with a solid foundation in psychology; however, hands-on experience of conducting research has truly enhanced my knowledge - a key reason for choosing this university. The journey of completing this mini-dissertation was not without challenges; setup issues with SPSS data caused significant problems during ANOVA and descriptive statistics analysis. Multiple lecturers' guidance proved incredibly helpful, both in troubleshooting technical issues and strengthening my understanding of the software, boosting confidence in data analysis. The writing process presented its own set of challenges - repetition of key points across different sections of the dissertation led me to reflect on creating a coherent and concise flow in future assignments. Although this project has been difficult at times, it has provided valuable learning experiences. Though my submission is not what I ideally would have it look like, I am proud of the progress I have made. I eagerly anticipate receiving feedback, as I believe it will be beneficial for further refining research skills and advancing my academic journey for the next year."
Research Skills & Personal Growth,1,0.9555,"Completing this mini-dissertation project has been a valuable and enriching experience for my psychology study journey. I enjoyed the entire process, especially data analysis and writing the report. Although the topic was not one I would have chosen (proposed by another team member), it provided me with a great deal of learning. It made me reflect on my own thinking, as I may sometimes rely on unconscious stereotypes. This project deepened my understanding of how easily people use mental shortcuts, such as race as a salient heuristic, when making judgments, especially in a media-saturated world where unverified narratives can shape perceptions. Beyond the theoretical learning, this project offered me the chance to practice essential research skills, from ethical planning and survey design to data analysis and writing up results. I genuinely enjoyed the process and often found myself immersed in the role of a researcher. It made me realize how much I enjoy working with real data and thinking critically about human behavior, which deepened my curiosity about psychological research and strengthened my desire to pursue this path further. Working with a team also reminded me that research is a collaborative process, and that social connection plays a vital role in learning and growth. Overall, this experience has not only expanded my academic knowledge but also helped me grow personally, as both a learner and an aspiring psychologist. || Completing this mini-dissertation project has been a valuable and enriching experience for my psychology study journey. I enjoyed the entire process, especially data analysis and writing the report. Although the topic was not one I would have chosen (proposed by another team member), it provided me with a great deal of learning. It made me reflect on my own thinking, as I may sometimes rely on unconscious stereotypes. This project deepened my understanding of how easily people use mental shortcuts, such as race as a salient heuristic, when making judgments, especially in a media-saturated world where unverified narratives can shape perceptions. Beyond the theoretical learning, this project offered me the chance to practice essential research skills, from ethical planning and survey design to data analysis and writing up results. I genuinely enjoyed the process and often found myself immersed in the role of a researcher. It made me realize how much I enjoy working with real data and thinking critically about human behavior, which deepened my curiosity about psychological research and strengthened my desire to pursue this path further. Working with a team also reminded me that research is a collaborative process, and that social connection plays a vital role in learning and growth. Overall, this experience has not only expanded my academic knowledge but also helped me grow personally, as both a learner and an aspiring psychologist."
Research Skills & Teamwork,1,0.9919,"My mini-dissertation project offered valuable lessons on teamwork, communication, and the research process. The prospect of conducting a study felt daunting due to self-doubt over my skills. However, the strong bond within my team eased these worries. Collaborating with a peer strengthened my grasp of SPSS, data interpretation, dividing participants into groups, which boosted my confidence in writing up results and discussion. Initially, formulating the research question was challenging due to numerous ideas about what to investigate. However, I'm satisfied with our final topic as it was relevant to our interests. Our findings were intriguing; all results were non-significant, suggesting limitations in past studies reporting significant results or potential flaws in our own research design. This experience broadened my understanding of neuroticism, love languages, and relationship satisfaction, enriching knowledge about social psychology, personality, and romantic relationships. In retrospect, I could have deepened my learning by engaging with more literature prior and systematically addressing questions that arose. The process reinforced the importance of precise data collection in strengthening critical thinking skills and statistical knowledge, particularly regarding methodological flaws impacting study outcomes. Overall, this experience has prepared me well for my final-year dissertation, equipping me with essential research skills to design and analyze psychological studies with greater confidence. || My mini-dissertation project offered valuable lessons on teamwork, communication, and the research process. The prospect of conducting a study felt daunting due to self-doubt over my skills. However, the strong bond within my team eased these worries. Collaborating with a peer strengthened my grasp of SPSS, data interpretation, dividing participants into groups, which boosted my confidence in writing up results and discussion. Initially, formulating the research question was challenging due to numerous ideas about what to investigate. However, I'm satisfied with our final topic as it was relevant to our interests. Our findings were intriguing; all results were non-significant, suggesting limitations in past studies reporting significant results or potential flaws in our own research design. This experience broadened my understanding of neuroticism, love languages, and relationship satisfaction, enriching knowledge about social psychology, personality, and romantic relationships. In retrospect, I could have deepened my learning by engaging with more literature prior and systematically addressing questions that arose. The process reinforced the importance of precise data collection in strengthening critical thinking skills and statistical knowledge, particularly regarding methodological flaws impacting study outcomes. Overall, this experience has prepared me well for my final-year dissertation, equipping me with essential research skills to design and analyze psychological studies with greater confidence."
Research Skills and Personal Growth,1,0.9361,"This process facilitated the development of new skills for designing and conducting a study. Conducting this study offered valuable learning experiences, allowing opportunities to experiment with various techniques and skills to enhance research abilities. Initially, the idea of an in-person experiment felt extremely intimidating; however, working with a group made the task easier as we could support each other. Completing an in-person study brought disadvantages such as lengthy recruitment and management of participant schedules, difficulty finding participants within the time frame, thorough planning needed for consistent procedure application to maintain validity, managing unexpected challenges like participants not showing up, and requiring problem-solving skills. Data analysis seemed daunting at first but proved an interesting aspect. As I navigated the findings, I felt a great sense of achievement; however, I realized that results faced errors due to chosen measures. This experience caused discouragement, leading to doubt in research abilities. Reflection on this experience taught essential skills such as calculating new variables, creating measures, and employing SPSS for reliability testing. The mini-dissertation increased confidence in approaching the final year dissertation by providing insights into advantages and disadvantages of different techniques and procedures for independent research. || This process facilitated the development of new skills for designing and conducting a study. Conducting this study offered valuable learning experiences, allowing opportunities to experiment with various techniques and skills to enhance research abilities. Initially, the idea of an in-person experiment felt extremely intimidating; however, working with a group made the task easier as we could support each other. Completing an in-person study brought disadvantages such as lengthy recruitment and management of participant schedules, difficulty finding participants within the time frame, thorough planning needed for consistent procedure application to maintain validity, managing unexpected challenges like participants not showing up, and requiring problem-solving skills. Data analysis seemed daunting at first but proved an interesting aspect. As I navigated the findings, I felt a great sense of achievement; however, I realized that results faced errors due to chosen measures. This experience caused discouragement, leading to doubt in research abilities. Reflection on this experience taught essential skills such as calculating new variables, creating measures, and employing SPSS for reliability testing. The mini-dissertation increased confidence in approaching the final year dissertation by providing insights into advantages and disadvantages of different techniques and procedures for independent research."
Research Skills and Teamwork,1,0.9787,"Through completing this mini-dissertation project, I have learned and revisited various skills and research techniques necessary to complete the task, making the experience surprisingly enjoyable and not as overwhelming as initially thought. Working with a group helped me overcome initial fears regarding this assignment, such as workload, but collaborating and discussing with peers boosted my confidence and morale. The use of software such as SPSS and Qualtrics allowed me to develop analysis skills and further understand data interpretation, as I experienced it first-hand with personally collected data, making it easier to comprehend. When analyzing my data, I learned how crucial it is to be thorough with data collection, as well as developing a study with a sample that is more feasible or easily sought after, which was an issue I encountered. This experience increased my confidence in areas where I felt the most weak and my confidence in dissertation-style writing as a whole, which I will carry with me when writing my final dissertation in my final year. || Through completing this mini-dissertation project, I have learned and revisited various skills and research techniques necessary to complete the task, making the experience surprisingly enjoyable and not as overwhelming as initially thought. Working with a group helped me overcome initial fears regarding this assignment, such as workload, but collaborating and discussing with peers boosted my confidence and morale. The use of software such as SPSS and Qualtrics allowed me to develop analysis skills and further understand data interpretation, as I experienced it first-hand with personally collected data, making it easier to comprehend. When analyzing my data, I learned how crucial it is to be thorough with data collection, as well as developing a study with a sample that is more feasible or easily sought after, which was an issue I encountered. This experience increased my confidence in areas where I felt the most weak and my confidence in dissertation-style writing as a whole, which I will carry with me when writing my final dissertation in my final year."
"Research Skills, Collaboration & Future Research Directions",1,0.9827,"Completing this Mini-Dissertation was a valuable and rewarding learning experience. One of the aspects enjoyed most was designing the study and selecting the research topic, specifically exploring the effects of sleep and breakfast consumption on working memory because I am genuinely passionate about how lifestyle behaviors influence cognitive performance. This helped me stay motivated and focused despite some challenges along the way. While group work had generally constructive moments, difficulties arose particularly around communication and attendance due in part to practical constraints including my own health challenges which occasionally impacted my participation in scheduled meetings. Nonetheless, we were able to effectively collaborate when it mattered, and I appreciated and enjoyed the opportunity to engage in collaborative work. Through this process, I developed a deeper understanding of research and became more confident using SPSS, especially when running and interpreting ANOVA tests, checking assumptions, and reporting statistical findings in APA format. Learning how to bring together multiple sections of the dissertation – from literature review to analysis and discussion – has helped me build skills and confidence I will need for my final-year dissertation. If given the opportunity, I would have liked to explore additional measurement tools such as validated sleep or nutrition questionnaires which could enhance internal validity in future research. I also now appreciate the value of objective measures and a more diverse sample, intending to incorporate these into my final-year project. Overall, this experience has not only strengthened my research and analytical skills but has also clarified the areas of psychology I am most drawn to. I feel more prepared for the challenges of independent research in my final year and am excited to continue building on what I've learned. || Completing this Mini-Dissertation was a valuable and rewarding learning experience. One of the aspects enjoyed most was designing the study and selecting the research topic, specifically exploring the effects of sleep and breakfast consumption on working memory because I am genuinely passionate about how lifestyle behaviors influence cognitive performance. This helped me stay motivated and focused despite some challenges along the way. While group work had generally constructive moments, difficulties arose particularly around communication and attendance due in part to practical constraints including my own health challenges which occasionally impacted my participation in scheduled meetings. Nonetheless, we were able to effectively collaborate when it mattered, and I appreciated and enjoyed the opportunity to engage in collaborative work. Through this process, I developed a deeper understanding of research and became more confident using SPSS, especially when running and interpreting ANOVA tests, checking assumptions, and reporting statistical findings in APA format. Learning how to bring together multiple sections of the dissertation – from literature review to analysis and discussion – has helped me build skills and confidence I will need for my final-year dissertation. If given the opportunity, I would have liked to explore additional measurement tools such as validated sleep or nutrition questionnaires which could enhance internal validity in future research. I also now appreciate the value of objective measures and a more diverse sample, intending to incorporate these into my final-year project. Overall, this experience has not only strengthened my research and analytical skills but has also clarified the areas of psychology I am most drawn to. I feel more prepared for the challenges of independent research in my final year and am excited to continue building on what I've learned."
"Research Skills, Data Analysis, Time Management, Planning, Confidence",1,0.9469,"At the start of this project, I was genuinely excited. I wanted to showcase my project management skills, generate and share ideas diplomatically, and work well with others. As the project progressed, I felt confused about the delivery side. Balancing communication, mental health, physical health, and time management was tough. Learning how to handle data technically felt overwhelming, especially as I didn't even know how to extend a column in Excel at the beginning. This made working with the messy dataset even more stressful. Although lab sessions provided clear guidance on running and formatting analyses, applying those instructions independently was harder than expected. With poor computer literacy, learning technical skills without direct support was a challenge throughout the project. Despite all that, I am genuinely proud of pulling this report together - especially learning how to export, clean, and manage data properly, which seemed beyond me at the start. I improved my practical research skills in unexpected ways. If I could change anything, it would be designing a study that made more sense for analysis, instead of choosing something quick and easy to get responses for. I would also advise myself to plan difficult steps carefully, seek clarification earlier, and not guess what was involved in working with data vaguely. This project challenged me more than anticipated, but it made me stronger and more confident for future research projects like my dissertation; because even though it takes me a little (a lot) longer to do data analysis, I can actually do it! || At the start of this project, I was genuinely excited. I wanted to showcase my project management skills, generate and share ideas diplomatically, and work well with others. As the project progressed, I felt confused about the delivery side. Balancing communication, mental health, physical health, and time management was tough. Learning how to handle data technically felt overwhelming, especially as I didn't even know how to extend a column in Excel at the beginning. This made working with the messy dataset even more stressful. Although lab sessions provided clear guidance on running and formatting analyses, applying those instructions independently was harder than expected. With poor computer literacy, learning technical skills without direct support was a challenge throughout the project. Despite all that, I am genuinely proud of pulling this report together - especially learning how to export, clean, and manage data properly, which seemed beyond me at the start. I improved my practical research skills in unexpected ways. If I could change anything, it would be designing a study that made more sense for analysis, instead of choosing something quick and easy to get responses for. I would also advise myself to plan difficult steps carefully, seek clarification earlier, and not guess what was involved in working with data vaguely. This project challenged me more than anticipated, but it made me stronger and more confident for future research projects like my dissertation; because even though it takes me a little (a lot) longer to do data analysis, I can actually do it!"
"Research, Teamwork, Perseverance",1,0.9859,"I was extremely excited to complete a mini-dissertation, however, I was skeptical about doing it as a group. Past experiences working in groups didn't give me much confidence; however, as the weeks went by, I realized I could rely on them. There were some weeks where motivation to come into labs decreased and most of us, including myself, didn't attend. If I was to do another group project again, I would take more advantage of the resources and support from the labs because towards the end, I found myself getting confused on analyzing data using SPSS. However, even though obtaining the statistical data seemed impossible towards the end, I managed to push through. With trial and error, it took me a full day to figure it out, but nonetheless, I'm proud that I persevered. Now, I can use SPSS with more confidence than before, and it doesn't seem as overwhelming as before. Ultimately, completing this mini-dissertation has been challenging but also rewarding. The process of conducting research and writing a substantial piece of work has significantly enhanced my understanding of factors affecting prosocial behavior and my overall academic skills. This opportunity has prepared me for how demanding my dissertation will be next year and put me in a great spot for what to expect. || I was extremely excited to complete a mini-dissertation, however, I was skeptical about doing it as a group. Past experiences working in groups didn't give me much confidence; however, as the weeks went by, I realized I could rely on them. There were some weeks where motivation to come into labs decreased and most of us, including myself, didn't attend. If I was to do another group project again, I would take more advantage of the resources and support from the labs because towards the end, I found myself getting confused on analyzing data using SPSS. However, even though obtaining the statistical data seemed impossible towards the end, I managed to push through. With trial and error, it took me a full day to figure it out, but nonetheless, I'm proud that I persevered. Now, I can use SPSS with more confidence than before, and it doesn't seem as overwhelming as before. Ultimately, completing this mini-dissertation has been challenging but also rewarding. The process of conducting research and writing a substantial piece of work has significantly enhanced my understanding of factors affecting prosocial behavior and my overall academic skills. This opportunity has prepared me for how demanding my dissertation will be next year and put me in a great spot for what to expect."
Skill Development & Learning Experience,1,0.8243,"The Mini-Dissertation experience was a rollercoaster, enjoyable yet stressful; confidence grew significantly throughout. Group work fostered teamwork and communication skills, although it did not fully alleviate confusion experienced. Each individual's process was unique and fast-paced, making one feel behind at times. However, valuable lessons were learned for next year. The initial encounter with exported data on Excel was overwhelming, but upon understanding, realized its simplicity. Running and interpreting the data was difficult due to extended time since writing a lab report. Nonetheless, managed to complete in the end. In conclusion, this process initiated thoughts about potential 3rd-year research topics and provided a rough idea of the process. Acquired skills include critical thinking, exporting data, interpreting and cleaning data, and refreshing SPSS skills (creating graphs and reading descriptive statistics). Overall, the experience was incredibly beneficial despite being stressful and confusing at times. || The Mini-Dissertation experience was a rollercoaster, enjoyable yet stressful; confidence grew significantly throughout. Group work fostered teamwork and communication skills, although it did not fully alleviate confusion experienced. Each individual's process was unique and fast-paced, making one feel behind at times. However, valuable lessons were learned for next year. The initial encounter with exported data on Excel was overwhelming, but upon understanding, realized its simplicity. Running and interpreting the data was difficult due to extended time since writing a lab report. Nonetheless, managed to complete in the end. In conclusion, this process initiated thoughts about potential 3rd-year research topics and provided a rough idea of the process. Acquired skills include critical thinking, exporting data, interpreting and cleaning data, and refreshing SPSS skills (creating graphs and reading descriptive statistics). Overall, the experience was incredibly beneficial despite being stressful and confusing at times."
Teamwork & Collaboration,1,0.9643,"At the start of the year, even thinking about a mini dissertation was daunting. I felt unprepared. As we formed groups and brainstormed ideas, I originally felt worried that as a group, we wouldn't be able to come together and produce a piece of work that we were all proud of. However, the difficulty of this project brought our small group together, and we supported each other throughout the process. Throughout the process of picking a topic, allocating variables and interactions for us all to choose, and then getting started with the study formation, we began to work together much more seamlessly than when we started. Working in a group has taught me how to rely on others for parts I feel less confident in. I also learned to lend a helping hand to my colleagues when they were feeling less confident in an area that I was confident in. This experience has helped a lot with the feeling of impending doom when thinking about my dissertation next year as I already know what I need to do to get started and what to focus on. I feel much more confident about going into year 3, knowing how to produce a piece of work that I can be proud of. || At the start of the year, even thinking about a mini dissertation was daunting. I felt unprepared. As we formed groups and brainstormed ideas, I originally felt worried that as a group, we wouldn't be able to come together and produce a piece of work that we were all proud of. However, the difficulty of this project brought our small group together, and we supported each other throughout the process. Throughout the process of picking a topic, allocating variables and interactions for us all to choose, and then getting started with the study formation, we began to work together much more seamlessly than when we started. Working in a group has taught me how to rely on others for parts I feel less confident in. I also learned to lend a helping hand to my colleagues when they were feeling less confident in an area that I was confident in. This experience has helped a lot with the feeling of impending doom when thinking about my dissertation next year as I already know what I need to do to get started and what to focus on. I feel much more confident about going into year 3, knowing how to produce a piece of work that I can be proud of."
"Teamwork, Communication, Data Analysis, Personal Growth",1,0.9763,"Completing this dissertation is a significant achievement, especially considering the mental health challenges I faced throughout the process and the year. At times, it felt impossible; yet I constantly reminded myself to persevere, believing that my efforts would eventually pay off. Looking back, I can now see the fruits of my hard work. I am incredibly grateful to my group members, who were patient and understanding during this period, which ultimately allowed us to meet the deadlines. This experience reinforced the importance of communication in research, as effective collaboration is essential for progress and credibility. One of the most challenging aspects for me was working with SPSS, as data analysis has never been my strongest area. This significantly delayed my progress, particularly when attempting complex tasks such as performing a median split and exporting data from Qualtrics. At times, I felt overwhelmed and doubted my abilities. However, once everything started falling into place, I experienced an immense sense of relief and pride. This journey has been a powerful reminder that the mental challenges I face do not define my capabilities-despite the difficulties, I am still able to achieve success. From this, it's been a reminder that data analysis isn't as difficult; I am excited to implement what I have learned in third year project. || Completing this dissertation is a significant achievement, especially considering the mental health challenges I faced throughout the process and the year. At times, it felt impossible; yet I constantly reminded myself to persevere, believing that my efforts would eventually pay off. Looking back, I can now see the fruits of my hard work. I am incredibly grateful to my group members, who were patient and understanding during this period, which ultimately allowed us to meet the deadlines. This experience reinforced the importance of communication in research, as effective collaboration is essential for progress and credibility. One of the most challenging aspects for me was working with SPSS, as data analysis has never been my strongest area. This significantly delayed my progress, particularly when attempting complex tasks such as performing a median split and exporting data from Qualtrics. At times, I felt overwhelmed and doubted my abilities. However, once everything started falling into place, I experienced an immense sense of relief and pride. This journey has been a powerful reminder that the mental challenges I face do not define my capabilities-despite the difficulties, I am still able to achieve success. From this, it's been a reminder that data analysis isn't as difficult; I am excited to implement what I have learned in third year project."
